Match ID,Season,Current Rank,Map,Agent,Performance,Kills,Deaths,Assists,K/D,Damage Delta/Round,Kills/Round,Average Damage/Round,Econ Rating,First Kills,First Deaths,Entry Success Rate,Headshot Accuracy,Kills/Assists/Survived/Traded,Round Win %,TRN Score,Time Category,Day of Week,Result
0055ba6f-baab-4b85-9236-af1284e373c0,V26: A3,Platinum 2,Split,Vyse,6,16,18,4,0.9,-18,0.7,114.9,46,3,3,0.5,0.159,0.54,0.458,351,Night,Saturday,defeat
02ae59b6-ae06-4388-9afc-f953bd6cc514,V26: A1,Gold 2,Pearl,Astra,9,5,14,3,0.4,-85,0.3,76.2,36,0,1,0,0.172,0.5,0.188,100,Night,Wednesday,defeat
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,V26: A1,Gold 2,Pearl,Gekko,10,7,17,5,0.4,-60,0.3,68.3,28,3,1,0.75,0.121,0.59,0.409,172,Morning,Sunday,defeat
0a2bc01a-180f-428b-ad99-33504edcc891,V26: A1,Gold 2,Split,Omen,7,19,21,4,0.9,-1,0.7,120.4,50,4,2,0.667,0.348,0.68,0.5,507,Afternoon,Thursday,tied
0db767de-c9b3-4431-8b6f-e6a4a0301044,V26: A1,Gold 2,Corrode,Deadlock,7,17,17,3,1,-6,0.8,128.4,51,0,3,0,0.182,0.73,0.409,525,Afternoon,Thursday,defeat
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,V26: A3,Platinum 2,Haven,Brimstone,3,13,14,2,0.9,7,0.9,175.7,73,1,1,0.5,0.325,0.67,0.133,507,Afternoon,Monday,defeat
128a41b6-5d48-4acf-872c-d1404c9ee348,V26: A2,Unranked,Bind,Killjoy,2,17,4,2,4.2,104,1,152,89,1,1,0.5,0.17,1,0.765,943,Afternoon,Sunday,victory
129c5fac-94ff-4e55-8d5f-809b92659cdf,V26: A2,Platinum 1,Bind,Brimstone,1,21,12,8,1.8,91,1,217.8,108,6,1,0.857,0.231,0.81,0.619,928,Night,Friday,victory
176e9567-25e1-433b-be43-59464e07229b,V26: A3,Platinum 2,Split,Omen,8,9,17,12,0.5,-23,0.4,112.5,47,0,2,0,0.141,0.71,0.619,456,Afternoon,Monday,victory
1a153cf6-2170-4604-af93-e9d6cf90efdd,V26: A1,Gold 2,Pearl,Astra,3,24,12,7,2,87,1.1,178.4,81,1,0,1,0.085,0.82,0.591,913,Night,Monday,victory
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,V26: A1,Unranked,Corrode,Brimstone,7,13,17,14,0.8,-29,0.5,102.1,46,3,3,0.5,0.133,0.62,0.458,325,Night,Wednesday,defeat
