Match ID,Season,Econ Loadout,Map,Kills,Deaths,Assists,K/D,Damage Delta/Round,Average Damage/Round,Entry Success Rate,Round Win %
0055ba6f-baab-4b85-9236-af1284e373c0,V26: A3,pistol,Split,1,1,0,1,-24,57,0,0.5
0055ba6f-baab-4b85-9236-af1284e373c0,V26: A3,eco,Split,4,3,0,1.333333333,15,136,1,0.75
0055ba6f-baab-4b85-9236-af1284e373c0,V26: A3,semi,Split,10,10,4,1,8,145.46,0.667,0.385
0055ba6f-baab-4b85-9236-af1284e373c0,V26: A3,full,Split,1,4,0,0.25,-110,41.6,0,0.4
02ae59b6-ae06-4388-9afc-f953bd6cc514,V26: A1,pistol,Pearl,0,2,1,0,-113,37,0,0
02ae59b6-ae06-4388-9afc-f953bd6cc514,V26: A1,eco,Pearl,1,3,1,0.333333333,-103,84,0,0.333
02ae59b6-ae06-4388-9afc-f953bd6cc514,V26: A1,semi,Pearl,3,9,1,0.333333333,-99,73.4,0,0.1
02ae59b6-ae06-4388-9afc-f953bd6cc514,V26: A1,full,Pearl,1,0,0,,160,160,0,1
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,V26: A1,pistol,Pearl,1,2,2,0.5,-2,130,0.5,0.5
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,V26: A1,semi,Pearl,4,9,1,0.444444444,-56,68.83,0,0.417
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,V26: A1,eco,Pearl,2,4,1,0.5,-59,69.33,1,0.5
0a0ec9d3-b1fb-4cce-95ab-b787d1590c11,V26: A1,full,Pearl,0,2,0,0,-150,0,0,0
0a2bc01a-180f-428b-ad99-33504edcc891,V26: A1,pistol,Split,1,2,0,0.5,-68,52,1,0.5
0a2bc01a-180f-428b-ad99-33504edcc891,V26: A1,semi,Split,8,10,1,0.8,6,133.38,0.667,0.385
0a2bc01a-180f-428b-ad99-33504edcc891,V26: A1,eco,Split,6,4,2,1.5,49,137.43,0,0.714
0a2bc01a-180f-428b-ad99-33504edcc891,V26: A1,full,Split,4,5,1,0.8,-52,95.33,0.5,0.5
0db767de-c9b3-4431-8b6f-e6a4a0301044,V26: A1,pistol,Corrode,0,2,0,0,-157,0,0,0.5
0db767de-c9b3-4431-8b6f-e6a4a0301044,V26: A1,semi,Corrode,8,8,2,1,-16,134.56,0,0.333
0db767de-c9b3-4431-8b6f-e6a4a0301044,V26: A1,full,Corrode,9,4,0,2.25,122,225.71,0,0.571
0db767de-c9b3-4431-8b6f-e6a4a0301044,V26: A1,eco,Corrode,0,3,1,0,-130,8.75,0,0.25
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,V26: A3,pistol,Haven,1,2,0,0.5,-47,91,0,0
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,V26: A3,eco,Haven,3,2,0,1.5,-22,191,0,0
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,V26: A3,semi,Haven,7,8,1,0.875,13,164.67,0,0.222
11e72d4e-d6bc-4d0d-8888-25a4ed18dc27,V26: A3,full,Haven,2,2,1,1,66,295,1,0
128a41b6-5d48-4acf-872c-d1404c9ee348,V26: A2,pistol,Bind,4,0,0,,56,127,0,1
128a41b6-5d48-4acf-872c-d1404c9ee348,V26: A2,semi,Bind,2,1,0,2,68,100.25,0,0.75
128a41b6-5d48-4acf-872c-d1404c9ee348,V26: A2,eco,Bind,10,3,2,3.333333333,150,217.62,0,0.625
128a41b6-5d48-4acf-872c-d1404c9ee348,V26: A2,full,Bind,1,0,0,,63,62.67,1,1
129c5fac-94ff-4e55-8d5f-809b92659cdf,V26: A2,pistol,Bind,1,1,1,1,-19,91,0,1
129c5fac-94ff-4e55-8d5f-809b92659cdf,V26: A2,semi,Bind,6,7,3,0.857142857,-14,127.33,0.75,0.444
129c5fac-94ff-4e55-8d5f-809b92659cdf,V26: A2,eco,Bind,10,3,3,3.333333333,202,347,1,0.714
129c5fac-94ff-4e55-8d5f-809b92659cdf,V26: A2,full,Bind,4,1,1,4,220,272.33,0,0.667
176e9567-25e1-433b-be43-59464e07229b,V26: A3,pistol,Split,2,2,2,1,-18,117,0,0.5
176e9567-25e1-433b-be43-59464e07229b,V26: A3,eco,Split,4,3,3,1.333333333,65,156.6,0,0.8
176e9567-25e1-433b-be43-59464e07229b,V26: A3,full,Split,0,6,5,0,-61,77,0,0.5
176e9567-25e1-433b-be43-59464e07229b,V26: A3,semi,Split,3,6,1,0.5,-49,121.5,0,0.667
1a153cf6-2170-4604-af93-e9d6cf90efdd,V26: A1,pistol,Pearl,4,1,0,4,132,187.5,0,0.5
1a153cf6-2170-4604-af93-e9d6cf90efdd,V26: A1,eco,Pearl,5,6,4,0.833333333,50,165.12,0,0.375
1a153cf6-2170-4604-af93-e9d6cf90efdd,V26: A1,full,Pearl,11,3,2,3.666666667,118,206.75,1,0.875
1a153cf6-2170-4604-af93-e9d6cf90efdd,V26: A1,semi,Pearl,4,2,0,2,75,144,0,0.5
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,V26: A1,pistol,Corrode,2,1,0,2,-8,117,0,1
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,V26: A1,semi,Corrode,7,9,6,0.777777778,-18,129.91,0,0.273
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,V26: A1,eco,Corrode,2,4,6,0.5,-39,68.57,0.5,0.571
1a18b6b4-5990-4f36-bb4a-7fe8dcc31d4e,V26: A1,full,Corrode,2,3,2,0.666666667,-52,77,1,0.5
1b389dca-7c0a-427c-a4ee-90966cb59df9,V26: A2,pistol,Haven,2,1,2,2,64,170.5,0.5,1
1b389dca-7c0a-427c-a4ee-90966cb59df9,V26: A2,semi,Haven,12,11,3,1.090909091,5,189.15,0,0.385
1b389dca-7c0a-427c-a4ee-90966cb59df9,V26: A2,eco,Haven,2,3,3,0.666666667,-6,125.6,0,0.6
1b389dca-7c0a-427c-a4ee-90966cb59df9,V26: A2,full,Haven,4,3,0,1.333333333,7,150,1,0.25
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,V26: A3,pistol,Split,4,2,0,2,110,260,1,0
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,V26: A3,eco,Split,1,4,1,0.25,-69,90,0,0.25
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,V26: A3,semi,Split,9,8,1,1.125,48,185.1,0,0.4
20a03bec-3724-49cc-9e61-d8fde5dd1dc5,V26: A3,full,Split,6,3,2,2,121,235.4,1,0.6
285fe4ee-5962-452d-ba99-fb0e8eb911fc,V26: A1,pistol,Bind,1,2,0,0.5,0,111,0.5,0.5
285fe4ee-5962-452d-ba99-fb0e8eb911fc,V26: A1,semi,Bind,11,13,6,0.846153846,-15,112.28,0.5,0.5
285fe4ee-5962-452d-ba99-fb0e8eb911fc,V26: A1,full,Bind,7,2,0,3.5,404,611,1,0.5
285fe4ee-5962-452d-ba99-fb0e8eb911fc,V26: A1,eco,Bind,0,2,2,0,-103,72.5,0,0
2a10dc85-0a10-49a4-aa59-a6baf818c957,V26: A3,pistol,Pearl,1,2,1,0.5,-38,70.5,1,1
2a10dc85-0a10-49a4-aa59-a6baf818c957,V26: A3,semi,Pearl,2,6,4,0.333333333,-72,65.67,0,0.778
2a10dc85-0a10-49a4-aa59-a6baf818c957,V26: A3,eco,Pearl,6,3,0,2,60,181.8,1,0.8
2a10dc85-0a10-49a4-aa59-a6baf818c957,V26: A3,full,Pearl,2,0,0,,210,300,0,0
2a1f45c4-86d0-4506-ab9e-8a196156639f,V26: A3,pistol,Fracture,1,2,0,0.5,-20,103,0,0
2a1f45c4-86d0-4506-ab9e-8a196156639f,V26: A3,eco,Fracture,7,8,3,0.875,47,177.7,0.6,0.4
2a1f45c4-86d0-4506-ab9e-8a196156639f,V26: A3,full,Fracture,11,2,1,5.5,133,201.5,1,0.75
2a1f45c4-86d0-4506-ab9e-8a196156639f,V26: A3,semi,Fracture,3,4,0,0.75,-14,141.75,0,0.25
2e26c762-3b06-41a3-9ec9-965e05a47ef5,V26: A2,pistol,Bind,0,1,1,0,-78,39,0,0.5
2e26c762-3b06-41a3-9ec9-965e05a47ef5,V26: A2,semi,Bind,9,11,4,0.818181818,-5,156.58,0.667,0.25
2e26c762-3b06-41a3-9ec9-965e05a47ef5,V26: A2,eco,Bind,3,3,0,1,66,194.75,0,0.25
2e26c762-3b06-41a3-9ec9-965e05a47ef5,V26: A2,full,Bind,1,1,0,1,-21,138,0,1
34a412f5-449d-4a3f-8a21-19aa47d60387,V26: A3,pistol,Breeze,4,2,1,2,14,188,0,0
34a412f5-449d-4a3f-8a21-19aa47d60387,V26: A3,eco,Breeze,2,5,3,0.4,-120,66.4,0,0.2
34a412f5-449d-4a3f-8a21-19aa47d60387,V26: A3,semi,Breeze,5,3,5,1.666666667,48,124.57,0,0.571
34a412f5-449d-4a3f-8a21-19aa47d60387,V26: A3,full,Breeze,7,3,0,2.333333333,137,254.8,0.5,0.2
367b5de8-a7de-4170-83b8-0c04cb4afc30,V26: A1,pistol,Corrode,1,1,1,1,17,91.5,0,0.5
367b5de8-a7de-4170-83b8-0c04cb4afc30,V26: A1,semi,Corrode,9,8,2,1.125,32,178.44,0,0.444
367b5de8-a7de-4170-83b8-0c04cb4afc30,V26: A1,eco,Corrode,2,3,1,0.666666667,-29,108.75,0,0.25
367b5de8-a7de-4170-83b8-0c04cb4afc30,V26: A1,full,Corrode,5,5,1,1,-34,158.67,0,0.333
3839d218-298d-4f18-a222-bc6b765d1826,V26: A2,pistol,Breeze,1,2,0,0.5,-45,67.5,0,0.5
